train_acc,train_loss,val_acc,val_loss
0.009600000000000001,4.609349,0.0104,4.6072426
0.009494736842105262,4.6068544,0.009600000000000001,4.6067915
0.009621052631578947,4.6063323,0.0084,4.607336
0.009747368421052633,4.606036,0.008400000000000001,4.6076927
0.009157894736842104,4.6058807,0.0104,4.6065965
0.009578947368421055,4.605891,0.009200000000000002,4.606607
0.009410526315789475,4.6056895,0.008,4.606653
0.009157894736842104,4.605819,0.0072,4.6069474
0.009915789473684211,4.6057463,0.0096,4.6066985
0.010042105263157896,4.6056714,0.0076,4.6064053
0.009747368421052633,4.6057215,0.01,4.6065717
0.00911578947368421,4.6057463,0.0076,4.6067567
0.00936842105263158,4.605829,0.008,4.6067
0.009178947368421054,4.6057568,0.01,4.606839
0.009663157894736844,4.6056733,0.008,4.6068635
0.009978947368421053,4.6057568,0.006400000000000001,4.6071305
0.009747368421052633,4.6056476,0.0064,4.607171
0.009873684210526314,4.6056385,0.007600000000000001,4.6069446
0.0092,4.6056786,0.008,4.6073074
0.009768421052631579,4.605594,0.0084,4.607515
0.00928421052631579,4.60566,0.009600000000000001,4.607361
0.009010526315789472,4.6056676,0.01,4.6070414
0.008778947368421053,4.6056395,0.0072,4.6070037
0.009263157894736843,4.605706,0.009600000000000001,4.607181
0.009894736842105263,4.6055665,0.0072,4.607206
0.009621052631578949,4.6055613,0.0064,4.607117
0.009326315789473684,4.605668,0.0096,4.607398
0.009642105263157895,4.6055837,0.0068000000000000005,4.6073995
0.009894736842105262,4.6055408,0.008,4.6073713
0.00928421052631579,4.6056104,0.0072,4.606875
0.009726315789473684,4.6055727,0.0072,4.6069026
0.00911578947368421,4.6055937,0.0072,4.607008
0.009536842105263158,4.605548,0.0104,4.60669
0.009873684210526316,4.6055474,0.007200000000000001,4.6067634
0.009178947368421052,4.605614,0.0092,4.606828
0.009642105263157895,4.605516,0.0076,4.6067014
0.00934736842105263,4.605556,0.0076,4.606669
0.009978947368421053,4.6056056,0.0076,4.6064606
0.008715789473684211,4.605573,0.0076,4.606685
0.00983157894736842,4.605568,0.0092,4.606628
0.009768421052631579,4.605551,0.008,4.6067257
0.009915789473684213,4.6054645,0.0076,4.6062946
0.00873684210526316,4.605575,0.0076,4.606413
0.009578947368421055,4.605567,0.0064,4.6067767
0.009347368421052632,4.6055675,0.0064,4.60679
0.009957894736842107,4.6055365,0.007599999999999999,4.6070957
0.009600000000000001,4.6054997,0.008,4.6067367
0.009684210526315788,4.605534,0.0072,4.6068144
0.009705263157894738,4.6055593,0.011200000000000002,4.6069336
0.010105263157894737,4.605521,0.0072,4.6072655
0.010147368421052632,4.605524,0.0072,4.607129
0.010147368421052632,4.605491,0.007200000000000001,4.6069613
0.009642105263157895,4.6055326,0.0064,4.6070137
0.009726315789473684,4.6055603,0.0092,4.607013
0.009557894736842105,4.605506,0.0072,4.6066203
0.009642105263157895,4.605566,0.0064,4.606859
0.00983157894736842,4.605491,0.0064,4.6068635
0.00968421052631579,4.6054735,0.0076,4.606602
0.009431578947368423,4.6054955,0.007200000000000001,4.6066275
0.009642105263157895,4.605474,0.0072,4.60674
0.009157894736842106,4.605501,0.008,4.6069317
0.010505263157894738,4.6055202,0.010000000000000002,4.6068664
0.010147368421052632,4.6054087,0.0064,4.6067076
0.010063157894736842,4.60549,0.006400000000000001,4.606679
0.008821052631578946,4.6054688,0.0104,4.606535
0.00922105263157895,4.6054645,0.0076,4.606581
0.00936842105263158,4.6055408,0.0076,4.6067653
0.01,4.60548,0.0076,4.6065254
0.009894736842105262,4.605456,0.008,4.6065297
0.00983157894736842,4.605495,0.008,4.6065755
0.010105263157894739,4.6054177,0.008,4.6066384
0.0088,4.605516,0.006400000000000001,4.606732
0.009600000000000001,4.605449,0.008,4.606821
0.009452631578947369,4.60544,0.0064,4.606867
0.00976842105263158,4.6054616,0.008,4.6067357
0.009621052631578949,4.6054177,0.008,4.6065426
0.010105263157894739,4.605434,0.008,4.6067305
0.009052631578947368,4.605443,0.0068000000000000005,4.606676
0.009810526315789474,4.6054225,0.0068000000000000005,4.606855
0.00983157894736842,4.60545,0.0092,4.6068616
0.010021052631578946,4.6054845,0.0068000000000000005,4.6070313
0.009957894736842107,4.605425,0.0068,4.6070175
0.009894736842105263,4.605466,0.0068,4.6070876
0.009747368421052631,4.6053934,0.0068,4.607004
0.009473684210526316,4.605444,0.0068,4.607096
0.009978947368421053,4.6054716,0.0064,4.6068172
0.010189473684210526,4.6054053,0.0064,4.6069684
0.010000000000000002,4.605411,0.0064,4.6068163
0.00951578947368421,4.605429,0.006400000000000001,4.606841
0.009768421052631579,4.6053877,0.0076,4.6066256
0.00922105263157895,4.605466,0.008,4.60666
0.009621052631578949,4.6054196,0.0076,4.6069465
0.010126315789473685,4.60554,0.0076,4.606948
0.009073684210526317,4.605466,0.0092,4.6069326
0.010105263157894739,4.6054,0.009200000000000002,4.6068697
0.009726315789473687,4.6054506,0.0092,4.6069136
0.009915789473684211,4.605441,0.008,4.607067
0.009621052631578949,4.6054068,0.0076,4.6070952
0.009094736842105263,4.6054487,0.0064,4.6071367
0.01008421052631579,4.6054044,0.0064,4.606989
