train_acc,train_loss,val_acc,val_loss
0.020863157894736844,4.4921913,0.026000000000000002,4.375842
0.03785263157894737,4.2883997,0.05080000000000001,4.168559
0.05090526315789475,4.148987,0.0644,4.105522
0.06701052631578948,4.031268,0.0808,3.9236803
0.07766315789473684,3.9445822,0.09,3.8624232
0.0907578947368421,3.8792305,0.0848,3.9488235
0.10044210526315792,3.811161,0.1184,3.7089472
0.11105263157894738,3.7471669,0.11040000000000001,3.741082
0.11880000000000002,3.6883276,0.1356,3.5810347
0.13067368421052633,3.6198976,0.1284,3.6429653
0.13745263157894735,3.5777905,0.11720000000000001,3.6864882
0.14604210526315792,3.5252879,0.15960000000000002,3.4233003
0.15781052631578948,3.4703162,0.15280000000000002,3.4342358
0.16206315789473685,3.4307895,0.15439999999999998,3.4980752
0.17639999999999997,3.374635,0.18760000000000002,3.2824152
0.17907368421052633,3.3421216,0.156,3.6159518
0.18922105263157893,3.2935092,0.196,3.2322443
0.19538947368421053,3.2443714,0.2076,3.1894028
0.20488421052631578,3.2070127,0.18040000000000003,3.2919996
0.2093263157894737,3.175058,0.2328,3.0937784
0.2188842105263158,3.1252263,0.2236,3.1050608
0.22473684210526315,3.0957592,0.22440000000000002,3.0868638
0.23336842105263156,3.0381274,0.2508,2.9675915
0.2426526315789474,2.999889,0.22159999999999996,3.2127104
0.24764210526315789,2.9691675,0.2584,2.9358456
0.2613473684210526,2.9120328,0.26960000000000006,2.9074922
0.2644,2.887263,0.242,3.0330503
0.27185263157894735,2.8504343,0.2748,2.7960234
0.2808,2.8001368,0.2828,2.8136773
0.2824421052631579,2.7854908,0.2596,2.8418412
0.29130526315789473,2.7488158,0.298,2.6986337
0.30094736842105263,2.7087355,0.28,2.7991762
0.3017684210526315,2.6863117,0.30679999999999996,2.6511784
0.3122315789473684,2.6437252,0.32800000000000007,2.6094303
0.314,2.6295266,0.2656,2.908896
0.32202105263157893,2.5999117,0.33080000000000004,2.548291
0.3291157894736842,2.562688,0.316,2.6416368
0.3336210526315789,2.543443,0.3184,2.6170444
0.3422736842105263,2.4948475,0.34,2.4618788
0.3447578947368421,2.4892774,0.3184,2.6327055
0.34812631578947373,2.4727354,0.35479999999999995,2.4653363
0.35981052631578947,2.4256408,0.3592,2.4753315
0.3599157894736842,2.4167795,0.30920000000000003,2.720558
0.36566315789473686,2.3873248,0.35800000000000004,2.3906324
0.3727368421052632,2.3567955,0.32960000000000006,2.539332
0.37265263157894735,2.3453536,0.35159999999999997,2.4743547
0.3794526315789474,2.3131347,0.3764,2.306489
0.3885894736842105,2.2908711,0.344,2.5213113
0.385621052631579,2.2915359,0.36519999999999997,2.3533533
0.3934315789473684,2.2516356,0.3832,2.2817998
0.39633684210526315,2.2493942,0.3296,2.56888
0.4022105263157895,2.2138944,0.3892,2.2777867
0.40393684210526315,2.2069304,0.35600000000000004,2.4406435
0.4062315789473684,2.201866,0.35600000000000004,2.4309804
0.4113894736842106,2.1734242,0.3956,2.211741
0.4154526315789473,2.1573784,0.35719999999999996,2.470201
0.4188210526315789,2.150706,0.39559999999999995,2.2105517
0.4247157894736842,2.1146111,0.406,2.1950881
0.42378947368421055,2.1184366,0.3576,2.4757981
0.42787368421052635,2.1022844,0.4052,2.153466
0.435178947368421,2.0802488,0.3804,2.3430665
0.4313894736842106,2.0824509,0.3924,2.2327175
0.4417052631578948,2.038427,0.42080000000000006,2.1122737
0.4406736842105264,2.0486183,0.3748,2.416648
0.44239999999999996,2.035386,0.4216000000000001,2.145906
0.44783157894736847,2.0067337,0.4152,2.1478
0.44856842105263156,2.0148258,0.386,2.287532
0.451978947368421,1.9923235,0.428,2.0762472
0.4583157894736842,1.9776918,0.4036,2.2368014
0.45665263157894737,1.9802198,0.4012,2.2079284
0.46227368421052634,1.9449687,0.4412,2.0227296
0.4642315789473684,1.9491994,0.3896,2.2879739
0.4645263157894736,1.9386998,0.4391999999999999,2.0658646
0.4693473684210526,1.9075642,0.4464,2.0724993
0.4727368421052632,1.9095073,0.42440000000000005,2.1552682
0.4730315789473684,1.906341,0.4452,2.0005884
0.4806947368421053,1.8783877,0.4204,2.1651008
0.4780842105263158,1.8873986,0.4092,2.1883163
0.48343157894736843,1.8672408,0.4452,2.0071235
0.48585263157894737,1.8570482,0.41480000000000006,2.2477376
0.4868421052631579,1.8592699,0.45239999999999997,1.9854574
0.48884210526315786,1.829168,0.4304,2.0703664
0.48785263157894737,1.8372473,0.4032,2.2100976
0.49570526315789476,1.8149337,0.46799999999999997,1.954228
0.4985894736842105,1.7986723,0.42,2.126846
0.4972631578947368,1.8100904,0.4192,2.201116
0.5013263157894736,1.7894996,0.4604000000000001,1.9253742
0.5006947368421053,1.7834858,0.4376,2.093638
0.5052421052631579,1.7719996,0.4648,1.9815822
0.5072842105263158,1.7655517,0.4672,1.9251869
0.5063157894736842,1.7634804,0.4264,2.1809368
0.5122105263157894,1.739338,0.4764,1.9389747
0.5157473684210526,1.7336701,0.43879999999999997,2.0659304
0.5128631578947369,1.7428852,0.4448,2.0138738
0.5170105263157895,1.7159631,0.46920000000000006,1.908158
0.5181684210526316,1.7170132,0.44160000000000005,2.078528
0.5190315789473685,1.7143773,0.47559999999999997,1.9199864
0.5237052631578948,1.6901275,0.4704,1.9033772
0.5211157894736842,1.7049356,0.42440000000000005,2.1645343
0.5221052631578947,1.6895416,0.4768,1.8906604
